tiktok_id,included,n_ppl,gender,gender_2,lang,country,support_vaccine,hcp,verified_hcp,genre,satire_who,correct,satire_comment,why_incorrect,myth_referenced,caption_helpful,infectious_disease_review,general_comments,satire_y_n,commentary_y_n,story_y_n,skit_y_n,silent_y_n,author,url,likes,shares,comments,author_followers,plays,description
11,Yes,Single,Female,NA,English,Unclear,No,No,Non applicable,"Commentary, Story Telling",NA,N/A,"there is no discussion of the covid vaccine, merely a pop culture tik tok reference",NA,No myth,NA,No,dark humour,N,N,N,N,N,cornurmom,https://www.tiktok.com/@cornurmom/video/6952577969474866438,785300,282,535,9042,6000000,and at that moment i realized i spend too much time on tik tok #fyp #foryoupage #covidvaccine
12,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Commentary, Story Telling, Silent Video with Visuals",NA,N/A,vaccines will help us return to normalcy and in person activities,NA,No myth,NA,No,vaccines will help us return to normalcy and in person activities,N,N,N,N,N,livwillz,https://www.tiktok.com/@livwillz/video/6921780957548743942,778600,28400,10500,24600,3100000,hi I’m emotional #fyp #SwitchTheChobaniFlip #BoseAllOut #covidvaccine
13,No,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling, Educational Explaination",NA,Yes,creator describes the basics mechanism of action of an mrna vaccine,NA,No myth,NA,No,Dark Humour,N,N,N,N,N,simplebiologist,https://www.tiktok.com/@simplebiologist/video/6894048104157400326,755800,45500,9016,40000,4400000,The coronavirus vaccine is fire #covid #covid19 #covidvaccine #science #scienceismagic #foryou #pfizer #pfizervaccine #womeninstem
14,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,Silent video with visuals,NA,Yes,ad emphasizes that vaccines will help us return to normalcy and in person activities,NA,No myth,NA,No,NA,N,N,N,N,N,dalirious,https://www.tiktok.com/@dalirious/video/6947750657428376838,743300,8557,11300,15200,3000000,Google hit right into my heart with this. #covidvaccine #google #googlead  #healthcare #positivity #coronatime #pandemic #fyp #viral #goodnews
15,Yes,Single,Female,NA,English,Unclear,No,No,Non applicable,"Skit, Story Telling",Unclear,N/A,cannot tell if this is satire or purposely stating that side effects of the vaccine will cause neurological issues,NA,"We don't know long term side effects, COVID Vaccine will cause anyone serious short term side effects, No myth",NA,No,cannot tell if this is satire or purposely stating that side effects of the vaccine will cause neurological issues,N,N,N,N,N,sash_powelll23,https://www.tiktok.com/@sash_powelll23/video/6900700218640157957,721000,130500,16200,852800,5100000,#covidvaccine #fyp #fypシ
16,Yes,Single,Male,All male,English,USA,Yes,No,Non applicable,"prank video, Dance, Story Telling",NA,N/A,this prank depicts him getting the actual vaccine but then faking side effects as a prank while in the waiting room,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,https://www.uhhospitals.org/medical-education/uh-osteopathic-consortium/regional-gme/physical-medicine-and-rehabilitation-residency/current-residents; PGY2 PMNR; https://www.instagram.com/vinhzcastle/ ; none of his content is that serious or educational,N,N,N,N,N,vinhzcastle,https://www.tiktok.com/@vinhzcastle/video/6916525221575003398,682100,16100,3035,134000,5400000,"Sorry, had to do it 😂 #covidvaccine #covidsideeffects #fyp"
17,Yes,Single,Female,NA,English,Unclear,No,No,Non applicable,Skit,Unclear,No,"although creator listed this skit as parody, there is insinuation that the J&J vaccine will cause long term complications",Purposely misleading,We don't know long term side effects,NA,No,"4th amendment is the USA thing; creator makes a lot of misleading claims around abortion, HIPPA, police brutality",N,N,N,N,N,saggitittie,https://www.tiktok.com/@saggitittie/video/6958171419314326790,615900,7598,9790,8070,3800000,yeah this is something i brag about #fyp #covidvaccine #lgbtq #wlw
18,Yes,Single,Male,male,English,USA,No,No,Non applicable,Silent video with visuals,NA,No,"that vaccines will be enforced for everyone and that people may die because of it ; While it is true they are FDA approved for emergencies, the point is that it is an emergency where benefits out weight risks thus that's why it was approved. Seems to twist this into saying not to get it because of that","Misinformation, Purposely misleading",Covid vaccines aren't authorized by the FDA,NA,No,NA,N,N,N,N,N,happymom_0612,https://www.tiktok.com/@happymom_0612/video/6935599625613135109,611900,26900,5372,23000,3700000,#ColorCustomizer #greenscreen #humor #comedy #funny #parody #science #whenwomenwin #covidvaccine #johnsonandjohnson #vaccine
19,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Commentary, Story Telling, Silent video with visuals, Skit",NA,N/A,"person just states that they got the vaccine, no actual statement about the vaccine itself other that theyre happy they received it",NA,No myth,NA,No,Not about vaccine use; just showing how nice people are at the testing facility,N,N,N,N,N,jackieboo109,https://www.tiktok.com/@jackieboo109/video/6951420674967751941,611000,92200,11700,20100,4200000,#fuckcovid #fuckthevaccine #covidvaccine #wakeup #foryou #foryoupage #staywoke
20,Yes,Single,Female,NA,English,Unclear,No,No,Non applicable,"Skit, Story Telling, Silent video with visuals",NA,Unclear,cannot tell if person is parodying the concept of the covid vaccine making breasts grow as a way of encouraging people to take the vaccine; false that breasts grow moreso lymph nodes increase; https://health.clevelandclinic.org/dont-be-alarmed-by-this-covid-19-vaccine-side-effect-that-could-be-confused-with-breast-cancer/ (lymph node swelling could be occuring),NA,"We don't know long term side effects, COVID Vaccine will cause anyone serious short term side effects, No myth",NA,No,NA,N,N,N,N,N,vincenzena,https://www.tiktok.com/@vincenzena/video/6971523117269273862,601300,30000,16400,3014,4100000,I am free marketing for the vaccine I stg. #fypシ #xyzbca #vaccine #pfizer #MACscaraface #covidvaccine #pfizervaccine #moderna
21,No,Single,Male,NA,English,USA,Yes,Yes,Twitter/Instagram,"Satire, Skit",Antivaxers,Yes,creator is stating that vaccines dont have toxins in them,NA,the vaccine has toxic ingredients,NA,No,Creator references a tiktok trend where you windmill your arms to make the vaccine hurt less (according to the comments); video isn't about the vaccine though the creator has clearly gotten it but about the hot guy and the trend,Y,N,N,N,N,thewagfam,https://www.tiktok.com/@thewagfam/video/6920640745137278213,591000,27900,6091,85600,4000000,You gonna get it?? #fypシ #covidvaccine #doctor
22,No,Single,Female,NA,spanish,Unclear,No,No,Non applicable,Skit,NA,N/A,"skit not in english, cannot include in study",NA,No myth,NA,No,NA,N,N,N,N,N,nadina_ioana,https://www.tiktok.com/@nadina_ioana/video/6942939275742825733,588300,1581,5018,7600000,5500000,💉  #VacunaCovid19 #roleplayenespañol#asmrcovid#asmrenespañol#asmrespañol#nadinaioana#vacuna#vacunacovid#covidvaccine
23,Yes,Double,Male,Male,English,Unclear,Yes,No,Non applicable,"Story Telling, Stitch (reply to another video)",NA,N/A,"people are just sharing their experiences with getting the vaccine, no  comment is made towards the efficacy or side effects of the vaccine",NA,No myth,NA,No,Says uCLA in bio; point of video is to show that vaccine will help us get back to normal,N,N,N,N,N,exploding_ovaries,https://www.tiktok.com/@exploding_ovaries/video/6949211953650748677,566400,1407,532,51000,4300000,#stitch with @uhlissuhrose I mean atleast the nurse is doing her best right #duet #GetCrocd #xyzbca #fyp #tattoo #covidvaccine
24,No,Single,Male,NA,English,Unclear,Yes,No,Non applicable,"Story Telling, Commentary, Silent video with visuals",NA,N/A,"person is encouraging people to get vaccinated, it is true that Krispy Kreme has a campaign in the US to give people free donuts if they are vaccinated",NA,No myth,NA,No,vaccines will help us return to normalcy and in person activities,N,N,N,N,N,charlesperalo,https://www.tiktok.com/@charlesperalo/video/6943293636780002565,545600,15900,7090,208800,2100000,#greenscreen Krispy Kreme offering free donuts for those vaccinated. #krispykreme #covid #covidvaccine #donuts #dunkin
25,Yes,Single,Male,NA,English,Unclear,No,No,Non applicable,"Commentary, Satire",Side Efffects,N/A,no mention of the actual vaccine,NA,"We don't know long term side effects, COVID Vaccine will cause anyone serious short term side effects",NA,No,Pretty sure this is a pretty valid explanation;  Found user on linkedin; graduat eof Rockefeller University https://rockedu.rockefeller.edu/blog/kate-bredbenner/; also user says that the vaccine will help get us back to normal too,Y,N,N,N,N,bbrandonbrown22,https://www.tiktok.com/@bbrandonbrown22/video/6904797708050058502,527700,22900,6253,191400,2400000,haven’t really been feeling like myself since getting the covid vaccine... #covidvaccine #fyp #feet #comedy
26,Yes,Single,Male,NA,English,UK,Yes,No,Non applicable,"Commentary, Story Telling",NA,N/A,person describing their positive experience getting the vaccine,NA,No myth,NA,No,NA,N,N,N,N,N,grandadjoe1933,https://www.tiktok.com/@grandadjoe1933/video/6918415787082517762,526900,3409,5331,4400000,3300000,Reply to @grandadjoe1933rules WHO doesn’t like getting needles? 🧐#minivlog #learnontiktok #covidvaccine #edutok #sciencefacts
